微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
AbhId4P2R,请那些三十岁上下就开始在不幸福的问题婚姻里瞎凑合并指望老来做个伴的夫妻们听好了，我以过来人的经验告诉你们，你们对婚姻的这种态度，过不去中年危机就分崩离析了，别梦想谁会伺候谁! 你越想平安是福，平淡是真，中年危机时的荷尔蒙越会以暴风骤雨掀翻你的家庭，颠覆你的婚姻!  ,,无,无,无,2013-09-26 21:44,微博 weibo.com,17,28,56
AbgXqeUdj,网友问: 其实很多女人怕的倒不是现在，而是老了、病了无人作伴... 答: 一个丈夫如果在你还没老没病的时候都没耐心守着你，你还指望等你老了病了好好照顾你? 只会发生，他老了病了玩不动了你来照顾他，不会发生你老了病了他回家照顾你，这点，不必有悬念，不要抱希望，信平安保险都比信出轨丈夫强。  ,,无,无,无,2013-09-26 19:49,微博 weibo.com,20,67,25
AbgN8y9lG,我悟出来的情感婚恋道道儿，都是在我第一次婚姻触礁后闲得无聊读书琢磨出来并亲体力行的，我不会去唱我做不到的高调，也不会去劝别人做我做不到的事情。而且，即使我能做到，也不认为别人能够或者应该做到，但我还是愿意说出来，或许能给别人些许勇气，不再抱怨度日。  ,,无,无,无,2013-09-26 19:24,微博 weibo.com,47,5,27
AbgbWgki3,网友问: 单身母亲大都忙于工作和孩子，哪有时间和金钱去发展爱好？答:这世界上有太多爱好是花不了几个钱的，关键是要有热爱生活和生命的激情，假如啥爱好都不能引起你心动，呵呵，那这样一个索然无味的女人，如何给孩子一个健康人生? 为孩子好，趁早把孩子还给TA爸吧，至少TA爸还会为女人心动呢?  ,,无,无,无,2013-09-26 17:52,微博 weibo.com,15,10,7
AbfYpl6FT,很多网友碰到丈夫出轨私下问我如何挽救，我的回答都是，渡人先渡己，你已经是自身难保的泥菩萨了，别自不量力往情海里跳，结局一定是跟他们一起陷在爱恨情仇里被灭顶。听我一句话，把爱情先放一边，去找个新爱好来玩玩，也许能玩出新花样，也许能玩出新爱情，总之，你先找到一个新自己，再发落旧丈夫。  ,,无,无,无,2013-09-26 17:19,微博 weibo.com,29,83,19
AbfJI2ZzM,网友问: 毛毛，对国内那些有普通工作，没赚钱本事又带孩子的婚姻不幸的中年妇女，有啥建议呢？答: 不管有没有赚钱本事，这世界上有两样东西，只要拥有其中一样，女人就容光焕发激情澎湃---1，好的爱情; 2，好的爱好! 既然婚姻不幸，没有好的爱情，又无力改变局面，那就纵情投身到好的爱好当中去吧。  ,,无,无,无,2013-09-26 16:42,微博 weibo.com,15,14,9
AbaLM1uJN,不明白为什么那么多女人怕离婚，我更怕的却是，被人看作了无生趣或落寞隐忍的大奶，那感觉，就像，就像，被人看作马列主义老太太，干巴巴硬生生，说起来令人敬仰，实际上无人待见! 所以心急火燎要脱贫，就像脱掉女干部服，套上女特务装一样，我实在不是一个演大奶的料，自己都觉得串戏跑调得厉害  ,,无,无,无,2013-09-26 04:04,微博 weibo.com,13,43,31
Ab6FE61z1,网友问: 请问在德国生活你如何应付文化差异? 答: 我原来认识个女友，她胸大腰细，她的胸太大了，腰太细了，只能戴75D的胸罩，你知道75D这型号在中国有多难买吗? 我到德国后，给她发过信，说，这里简直是你的天堂，到处都是75D啊。我的思想就像她的75D，土匪遇上强盗，可算找到组织了。  ,,无,无,无,2013-09-25 17:38,微博 weibo.com,3,35,14
Ab64lwOZJ,网友问: 毛毛姐，结婚一定要在相互了解的基础上？有没有可能见过两三面就结婚？答: 当然有可能啊! 婚姻幸福与否与恋爱长短还真没必然关系，主要看二人磁场气场和道场是否相吸相合和相称，这个，还真有点碰运气的成分在里边。只要你拿得起放得下，玩得起闪结，受得了闪离，冒险走一遭，有什么大不了呢?  ,,无,无,无,2013-09-25 16:06,微博 weibo.com,13,15,11
Ab5Eq60N5,网友问: 三十出头，远离家乡，爱情没有家庭没有房子没有，感觉特孤苦无依，特崩溃，没勇气去死，但是不知道该怎么活。答: 希望你知道三十出头远离家乡什么都没有的女人不只你一个，你不是一个人在这种孤苦无依的崩溃中坚持，既然没勇气死，就必须好好活。请拼出最后一点力气，给自己一个微笑，每一天。  ,,无,无,无,2013-09-25 15:02,微博 weibo.com,22,7,11
Ab0D1eCNS,"昨夜奋战完，我非拉着老公去称体重，他不解，我一脸严肃一本正经说道""我觉得，你一定轻了半公斤，我一定重了半公斤。"" 他稍微一愣恍然大悟，忍不住哈哈大笑""你这个人...天哪，你也太能胡说了...""[睡觉]  ",,无,无,无,2013-09-25 02:15,微博 weibo.com,11,2,26
AaXmeAMgW,整个第一次婚姻，我把婚前攒的钱赔进去了，婚后开公司赚的钱被前夫养情人造进去了(这也怪我，自己是个马大哈，数学差，就知道干活，不知道算账，这也是我留在德国的一大原因，税务局替我管账，我懒得像盯贼一样盯住丈夫的财务!!) 最后剩到我手里的钱，连中介费都掏不起，只够自己办出国。  ,,无,无,无,2013-09-24 17:55,微博 weibo.com,8,3,27
AaXidvfpc,我前夫是天津本地人，父母都是天津医生，家有几处房产，我的意思是，不靠父母靠自己，主要原因也是我看不上那种破房子，眼光高啊。所以结婚时并未装修任何一处房产，本打算在石家庄赚钱回来再自己买房子，不承想中途生变...离婚时，我在天津身无片瓦，还把婚前的辛苦钱给砸进去了，就剩跳楼或卖身了。  ,,无,无,无,2013-09-24 17:45,微博 weibo.com,5,8,16
AaX8AllRT,网友问: 毛姐，我想你的经济条件肯定很好，你应该教大家怎么创造这个，你难道想激励一些失婚妇带着孩子睡大街吗？很多女人是单独养不起孩子的。答: 我农村考上二流大学，毕业后留在天津，无貌无房无家，整个一三无人员，我经济条件好个屁! 我敢离婚，不是经济条件好，只是不在乎睡大街而已。  ,,无,无,无,2013-09-24 17:22,微博 weibo.com,21,17,29
AaWWN0t0P,网友说: 男人会不会出轨，不在于妻子好不好，而在于这个男人本身有没有想出轨。答: 对头，女人好与不好跟男人出不出轨关系不大，但是，好女人一定会离开不好的男人扬长而去，因为，薰莸不同器! 这两样一旦同了器，必然气味相投，好女人也会沾一身怨臭气，令人掩鼻。  ,,无,无,无,2013-09-24 16:52,微博 weibo.com,18,40,17
AaWssthIu,自从我有了孩子，而且都是女儿，就更加明白了，爹地的形象有多重要! 对她们未来择偶心态及婚恋质量影响深重。我希望她们对异性及自己有正面积极和客观公正的评价，所幸亲生爹地作为她们生命中的第一个男人还是相当光明正面的，否则，若阴暗面太大，我一定会拨乱反正，为她们重新找个样板漂白的。  ,,无,无,无,2013-09-24 15:38,微博 weibo.com,28,34,27
AaRiQteRC,"""一别两宽，各生欢喜""的通俗说法就是""一拍两散，各自玩儿去""。不知为什么，我一直特喜欢""一拍两散""这成语，觉得特解气，特过瘾，堪比高潮。甚至，自从离过一次婚后，我都油然生出了一种优越感，偷偷瞧不起那些没离过婚的人了，觉得他们白活了,跟我压根儿不在一个档次上  ",,无,无,无,2013-09-24 02:30,微博 weibo.com,29,27,43
AaOZZorAA,网友说: 作为夫妻，当然有责任义务满足对方的一切需求，但人总有缺点，有办不到的事情，会让对方产生不满或遗憾，这时如果别人在我缺陷的一面做得很好，我感觉也很佩服，配偶对她产生爱意好像也很自然，但他也很爱我做得很好的那些方面，这种情况下该怎么处理?  ,,无,无,无,2013-09-23 20:38,微博 weibo.com,0,8,3
